Key,zh-tw,zh-cn,ja-jp,en
Card._Card_wd001v1.Name,初等木製法杖,初等木制法杖,初級木製ワンド,Lesser Wooden Wand
Card._Card_wd001v2.Name,木製法杖,木制法杖,木製ワンド,Wooden Wand
Card._Card_wd001v3.Name,橡木法杖,橡木法杖,オークワンド,Oak Wand
Card._Card_wd002v1.Name,初等火焰法杖,初等火焰法杖,初級ファイアワンド,Lesser Fire Wand
Card._Card_wd002v2.Name,火焰法杖,火焰法杖,ファイアワンド,Fire Wand
Card._Card_wd002v3.Name,灼熱日冕,灼热日冕,灼熱の金環,Scorching Corona
Card._Card_wd003v1.Name,初等冰霜法杖,初等冰霜法杖,初級アイスワンド,Lesser Frost Wand
Card._Card_wd003v2.Name,冰霜法杖,冰霜法杖,アイスワンド,Frost Wand
Card._Card_wd003v3.Name,絕對零度,绝对零度,絶対零度,Absolute Zero
Card._Card_wd004v1.Name,初等暴風法杖,初等暴风法杖,初級ストームワンド,Lesser Storm Wand
Card._Card_wd004v2.Name,暴風法杖,暴风法杖,ストームワンド,Storm Wand
Card._Card_wd004v3.Name,碧空颶風,碧空飓风,スカイハリケーン,Tornado
Card._Card_wd005v1.Name,初等閃電法杖,初等闪电法杖,初級サンダーワンド,Lesser Lightening Wand
Card._Card_wd005v2.Name,閃電法杖,闪电法杖,サンダーワンド,Lightening Wand
Card._Card_wd005v3.Name,高壓閃電,高压闪电,高圧サンダー,Megalightning
Card._Card_wd006v1.Name,空間法杖,空间法杖,空間ワンド,Space Wand
Card._Card_wd006v2.Name,以太空間法杖,以太空间法杖,エーテル空間ワンド,Aether Space Wand
Card._Card_wd007v1.Name,蜘蛛怪杖,蜘蛛怪杖,クモワンド,Eerie Spider Wand
Card._Card_wd008v1.Name,魔力儲存杖,魔力储存杖,マジックストアワンド,Mana Reserve Wand I
Card._Card_wd008v2.Name,大型魔力儲存杖,大型魔力储存杖,大型マジックストアワンド,Mana Reserve Wand II
Card._Card_wd009v1.Name,力量強化杖,力量强化杖,パワーアップワンド,Strength Wand I
Card._Card_wd009v2.Name,超級力量強化杖,超级力量强化杖,スーパーパワーアップワンド,Strength Wand II
Card._Card_wd010v1.Name,魔法防護杖,魔法防护杖,護りのマジカルワンド,Shield Wand I
Card._Card_wd010v2.Name,強化魔法防護杖,强化魔法防护杖,強化護りのマジカルワンド,Shield Wand II
Card._Card_wd010v3.Name,結晶防護法杖,结晶防护法杖,護りのクリスタルワンド,Crystal Defense Wand
Card._Card_wd011v1.Name,小雞閃光杖,小鸡闪光杖,ひよこフラッシュワンド,Cock Lighting Wand
Card._Card_wd011v2.Name,閃光法杖,闪光法杖,フラッシュワンド,Lighting Wand
Card._Card_wd013v1.Name,時間壓縮杖,时间压缩杖,時間圧縮ワンド,Time Leap Wand
Card._Card_wd014v1.Name,初級魔法凝聚,初级魔法凝聚,初級魔法集中,Mana Cohesion I
Card._Card_wd014v2.Name,中級魔法凝聚,中级魔法凝聚,中級魔法集中,Mana Cohesion II
Card._Card_wd014v3.Name,高級魔法凝聚,高级魔法凝聚,高級魔法集中,Mana Cohesion III
Card._Card_wd017v1.Name,暗影杖,暗影杖,シャドーワンド,Shadow Wand
Card._Card_wd017v2.Name,骸蝶魅影,骸蝶魅影,デスフライの残影,Phantom of Butterfly
Card._Card_wd018v4.Name,業炎的石杖,业炎的石杖,業炎の石杖,Wand of Flame
Card._Card_wd019v1.Name,儀式法杖,仪式法杖,儀式用ワンド,Ritual Wand
Card._Card_wd019v2.Name,預兆之眼,预兆之眼,予知の目,Eye of Prophecy
Card._Card_wd020v1.Name,驅散法杖,驱散法杖,退散のワンド,Wand of Expulsion
Card._Card_wd020v2.Name,破邪法杖,破邪法杖,破邪のワンド,Exorcist Wand
Card._Card_wd022v1.Name,衛兵法杖,卫兵法杖,衛兵のワンド,Guard's Wand
Card._Card_wd023v1.Name,流水法杖,,湧水のワンド,Raging Torrent
Card._Card_wd023v2.Name,群鯊使者,,鮫の使い,Messenger of Sharks
